DataYear	BuildingType	PrimaryPropertyType	YearBuilt	NumberofBuildings	NumberofFloors	PropertyGFATotal	PropertyGFAParking	PropertyGFABuilding(s)	LargestPropertyUseType	LargestPropertyUseTypeGFA	SecondLargestPropertyUseType	SecondLargestPropertyUseTypeGFA	ThirdLargestPropertyUseType	ThirdLargestPropertyUseTypeGFA	ENERGYSTARScore	SiteEUI(kBtu/sf)	SiteEUIWN(kBtu/sf)	SourceEUI(kBtu/sf)	SourceEUIWN(kBtu/sf)	SiteEnergyUse(kBtu)	SiteEnergyUseWN(kBtu)	SteamUse(kBtu)	Electricity(kBtu)	NaturalGas(kBtu)	DefaultData	ComplianceStatus	Latitude	Longitude	GHGEmissionsIntensity	TotalGHGEmissions	GFA	Age	SiteEnergyUse(kBtu)_log2p	TotalGHGEmissions_log2
2015	SPS-District K-12	Education	1949	2.0	2.0	160645	0	160645	Education	164229.0	noInfo	0.0	noInfo	0.0	80.0	38.9	50.9	62.6	77.2	6387710.0	8362498.0	0.0	1709681.0	4678100.0	Yes	Compliant	47.71011498	-122.29379175	1.58	260.37	40161.25	66	22.606867611519395	8.024419419597187
2015	NonResidential	Lodging	1994	4.0	4.0	81871	0	81871	Lodging	81871.0	noInfo	0.0	noInfo	0.0	20.0	90.6	93.8	178.5	181.8	7419765.0	7677473.0	0.0	3266270.0	4153630.0	No	Compliant	47.66585193	-122.29889419	2.8	243.37	5116.9375	21	22.82294225806205	7.9270075290724105
2015	NonResidential	Industrial	1955	2.0	2.0	126394	0	126394	Industrial	26225.0	noInfo	0.0	noInfo	0.0	77.0	11.7	12.2	34.0	34.5	306721.0	319916.0	0.0	272732.0	34000.0	No	Compliant	47.66270326	-122.29612323	0.02	3.71	31598.5	60	18.2265721237695	1.8914191868460786
2015	SPS-District K-12	Education	1990	2.0	2.0	54986	0	54986	Education	54986.0	noInfo	0.0	noInfo	0.0	91.0	30.1	33.5	80.3	91.0	1655612.0	1842702.0	0.0	1281965.0	373700.0	No	Compliant	47.65726207	-122.39065097	0.42	28.78	13746.5	25	20.658934051201378	4.846994686965573
2015	SPS-District K-12	Education	1950	2.0	2.0	175565	0	175565	Education	182861.0	noInfo	0.0	noInfo	0.0	88.0	34.1	45.5	53.6	67.3	6227419.0	8317888.0	0.0	1561983.0	4665500.0	Yes	Compliant	47.68245037	-122.2939354	1.44	258.67	43891.25	65	22.570203152455143	8.014968932777121
2015	NonResidential	Office	1961	2.0	2.0	94900	0	94900	Office	55586.0	Industrial	39314.0	noInfo	0.0	57.0	63.7	69.6	161.3	165.9	6043853.0	6605535.0	0.0	4289697.0	1754334.0	No	Compliant	47.66580963	-122.3860321	1.1	123.08	23725.0	54	22.52703737939342	6.94345253855882
2015	NonResidential	Office	1900	2.0	2.0	52554	0	52554	Office	51029.0	Education	7849.0	noInfo	0.0	93.0	36.3	37.2	81.6	84.5	2137686.0	2192109.0	0.0	1226016.0	911721.0	No	Compliant	47.58002948	-122.31181286	0.98	56.97	13138.5	115	21.027619198526104	5.832130501095929
2015	NonResidential	Education	1954	3.0	3.0	175015	0	175015	Education	175015.0	noInfo	0.0	noInfo	0.0	95.0	40.5	49.1	74.6	85.8	7080118.0	8596269.0	0.0	2694187.0	4386042.0	No	Compliant	47.68894837	-122.33616192	1.37	251.72	19446.111111111113	61	22.7553421781165	7.975676037797327
2015	NonResidential	Lodging	1969	24.0	24.0	332210	205970	126240	Lodging	348630.0	noInfo	0.0	noInfo	0.0	68.0	44.9	44.9	121.0	121.0	15660628.0	15660628.0	0.0	12308680.0	3352459.0	No	Compliant	47.60950466	-122.3334029	0.63	263.85	576.7534722222223	46	23.90063882300631	8.043574173305755
2015	NonResidential	Office	1973	5.0	5.0	168115	0	168115	Office	103501.0	Retail	65676.0	Office	354.0	79.0	54.3	54.3	170.7	170.7	9213841.0	9213841.0	0.0	9214222.0	0.0	No	Compliant	47.61103976	-122.3363484	0.15	64.23	6724.6	42	23.13537142798142	6.0051753913319414
2015	Multifamily LR (1-4)	Lodging	1900	4.0	4.0	48383	0	48383	Lodging	38172.0	Retail	10211.0	noInfo	0.0	75.0	61.0	69.9	129.6	139.4	2953338.0	3379678.0	915977.0	1448859.0	588563.0	No	Compliant	47.60973588	-122.3403842	2.19	112.06	3023.9375	115	21.49391553553141	6.808127587455465
2015	NonResidential	Lodging	1930	20.0	20.0	98634	10043	88591	Lodging	83591.0	Other	10043.0	Food	5000.0	46.0	69.7	73.8	201.1	213.8	6175812.0	6534220.0	0.0	5422999.0	753040.0	No	Compliant	47.61229324	-122.33441925	0.55	77.8	246.58499999999998	85	22.558197638630773	6.281698250098829
2015	NonResidential	Lodging	1982	34.0	34.0	994212	146694	847518	Lodging	994212.0	Other	117668.0	Entertainment	0.0	60.0	85.9	89.3	187.3	191.6	85357952.0	88771488.0	16229832.0	45041634.0	24088353.0	No	Compliant	47.61101988	-122.3335344	2.67	2846.07	860.0449826989619	33	26.34702224299619	11.474755430507834
2015	NonResidential	Lodging	1985	7.0	7.0	71150	0	71150	Lodging	41340.0	Other	13730.0	Retail	9604.0	99.0	87.8	87.8	203.3	203.3	5040382.0	5040382.0	0.0	3053131.0	1987378.0	Yes	Compliant	47.60989093	-122.3414255	1.6	126.83	1452.0408163265306	30	22.265101932257092	6.986752226514344
2015	NonResidential	Lodging	1908	7.0	7.0	122810	0	122810	Lodging	88360.0	Entertainment	26450.0	Retail	8000.0	99.0	41.4	50.8	65.7	75.6	5086863.0	6240104.0	0.0	1305729.0	3781188.0	No	Compliant	47.61155254	-122.3408486	1.66	209.92	2506.326530612245	107	22.278345092825212	7.7136958148433585
2015	NonResidential	Lodging	2000	7.0	7.0	150453	34735	115718	Lodging	107547.0	Food	3000.0	noInfo	0.0	83.0	60.8	62.6	131.7	133.4	6722886.0	6921805.0	0.0	3586563.0	3136472.0	No	Compliant	47.6203118	-122.3428044	1.17	191.58	3070.469387755102	15	22.680649469911085	7.581803148516525
